month,event_count,avg_severity,total_deaths
1998-06-01,43,1.37931034482759,2661
1998-07-01,31,1.25,9059
1998-08-01,34,1.33333333333333,3454
1998-09-01,30,1.1875,1610
1998-10-01,21,1.14285714285714,11587
1998-11-01,15,1.09090909090909,209
1998-12-01,8,1.0,2
1999-01-01,12,1.25,72
1999-02-01,16,1.3,175
1999-03-01,15,1.25,83
1999-04-01,13,1.16666666666667,201
1999-05-01,11,1.42857142857143,221
1999-06-01,21,1.125,1958
1999-07-01,34,1.33333333333333,1451
1999-08-01,38,1.08333333333333,583
1999-09-01,34,1.2,1717
1999-10-01,28,1.57142857142857,11740
1999-11-01,11,1.75,72
1999-12-01,21,1.25,50316
2000-01-01,114,1.25,8053
2000-02-01,10,1.33333333333333,253
2000-03-01,17,1.14285714285714,65
2000-04-01,13,1.5,52
2000-05-01,28,1.33333333333333,607
2000-06-01,28,1.28571428571429,627
2000-07-01,18,1.0,1687
2000-08-01,33,1.23076923076923,3963
2000-09-01,32,1.08333333333333,2594
2000-10-01,25,1.21428571428571,323
2000-11-01,36,1.05555555555556,669
2000-12-01,19,1.14285714285714,3745
2001-01-01,129,1.11111111111111,5357
2001-02-01,19,1.28571428571429,328
2001-03-01,26,1.4,68
2001-04-01,20,1.2,157
2001-05-01,26,1.08333333333333,331
2001-06-01,33,1.0,860
2001-07-01,54,1.37037037037037,2000
2001-08-01,52,1.22727272727273,3166
2001-09-01,24,1.07692307692308,562
2001-10-01,27,1.125,457
2001-11-01,20,1.09090909090909,2008
2001-12-01,38,1.08333333333333,254
2002-01-01,143,1.22222222222222,4668
2002-02-01,25,1.0625,280
2002-03-01,26,1.08333333333333,227
2002-04-01,35,1.16666666666667,577
2002-05-01,43,1.35,231
2002-06-01,54,1.21621621621622,2825
2002-07-01,56,1.05128205128205,943
2002-08-01,82,1.17647058823529,1944
2002-09-01,27,1.0625,344
2002-10-01,25,1.17647058823529,351
2002-11-01,32,1.22222222222222,230
2002-12-01,27,1.06666666666667,142
2003-01-01,170,1.05405405405405,4265
2003-02-01,37,1.0,149
2003-03-01,29,1.04761904761905,133
2003-04-01,34,1.22727272727273,393
2003-05-01,38,1.15,897
2003-06-01,44,1.03571428571429,2072
2003-07-01,57,1.15714285714286,1539
2003-08-01,57,1.07692307692308,699
2003-09-01,32,1.1,417
2003-10-01,25,1.38461538461538,178
2003-11-01,37,1.04545454545455,751
2003-12-01,31,1.13333333333333,876
2004-01-01,111,1.16666666666667,7293
2004-02-01,23,1.14285714285714,49
2004-03-01,33,1.15,234
2004-04-01,32,1.0,393
2004-05-01,23,1.0,6730
2004-06-01,49,1.17857142857143,5018
2004-07-01,47,1.38095238095238,846
2004-08-01,36,1.2,994
2004-09-01,22,1.18181818181818,3659
2004-10-01,20,1.2,541
2004-11-01,21,1.07692307692308,1155
2004-12-01,22,1.23076923076923,160153
2005-01-01,132,1.33333333333333,5976
2005-02-01,20,1.11111111111111,1084
2005-03-01,31,1.0,399
2005-04-01,26,1.42857142857143,501
2005-05-01,30,1.25,332
2005-06-01,59,1.36363636363636,1981
2005-07-01,42,1.125,3086
2005-08-01,61,1.18181818181818,1747
2005-09-01,45,1.0952380952381,1060
2005-10-01,33,1.125,4978
2005-11-01,17,1.22222222222222,184
2005-12-01,21,1.42857142857143,298
2006-01-01,147,1.2,6256
2006-02-01,42,1.19047619047619,185
2006-03-01,37,1.36842105263158,273
2006-04-01,59,1.25925925925926,394
2006-05-01,48,1.33333333333333,701
2006-06-01,55,1.04761904761905,1479
2006-07-01,71,1.05714285714286,3258
2006-08-01,67,1.0952380952381,3806
2006-09-01,16,1.0,728
2006-10-01,48,1.22222222222222,1103
2006-11-01,29,1.0,975
2006-12-01,17,1.16666666666667,494
2007-01-01,171,1.10526315789474,9460
2007-02-01,11,1.0,76
2007-03-01,29,1.09375,719
2007-04-01,29,1.02777777777778,256
2007-05-01,51,1.01923076923077,339
2007-06-01,59,1.13793103448276,3202
2007-07-01,69,1.06896551724138,7131
2007-08-01,84,1.13636363636364,2355
2007-09-01,45,1.05263157894737,730
2007-10-01,50,1.04761904761905,916
2007-11-01,34,1.0,3861
2007-12-01,33,1.03333333333333,562
2008-01-01,129,1.3,4282
2008-02-01,28,1.10714285714286,370
2008-03-01,25,1.08333333333333,229
2008-04-01,15,1.16666666666667,30
2008-05-01,29,1.07142857142857,100312
2008-06-01,30,1.40909090909091,2576
2008-07-01,48,1.65,977
2008-08-01,47,1.62,1930
2008-09-01,41,1.5625,3058
2008-10-01,48,1.65384615384615,954
2008-11-01,40,1.43333333333333,653
2008-12-01,36,1.21875,244
2009-01-01,120,1.16666666666667,3925
2009-02-01,32,1.30555555555556,309
2009-03-01,15,1.1875,447
2009-04-01,22,1.4375,226
2009-05-01,22,1.4,223
2009-06-01,26,1.07142857142857,140
2009-07-01,59,1.10416666666667,1583
2009-08-01,39,1.20588235294118,904
2009-09-01,53,1.75,1664
2009-10-01,23,1.38888888888889,686
2009-11-01,50,1.21052631578947,723
2009-12-01,24,1.0,262
2010-01-01,141,1.32142857142857,8712
2010-02-01,32,1.46153846153846,359
2010-03-01,41,1.14705882352941,315
2010-04-01,19,1.22222222222222,1094
2010-05-01,40,1.26470588235294,2915
2010-06-01,39,1.4,768
2010-07-01,63,1.25,6311
2010-08-01,37,1.5,939
2010-09-01,36,1.55882352941176,757
2010-10-01,31,1.46153846153846,1363
2010-11-01,38,1.5625,1103
2010-12-01,26,1.44444444444444,228
2011-01-01,105,1.5,8042
2011-02-01,16,1.25,211
2011-03-01,33,1.46666666666667,10504
2011-04-01,24,1.16666666666667,277
2011-05-01,20,1.66666666666667,72
2011-06-01,41,1.28947368421053,1491
2011-07-01,40,1.35714285714286,360
2011-08-01,51,1.61111111111111,4053
2011-09-01,18,1.75,721
2011-10-01,28,1.41666666666667,463
2011-11-01,23,1.4375,564
2011-12-01,26,1.375,1147
2012-01-01,101,1.41666666666667,3668
2012-02-01,28,1.27777777777778,92
2012-03-01,21,1.35,174
2012-04-01,30,1.3125,384
2012-05-01,31,1.35,393
2012-06-01,32,1.45,718
2012-07-01,44,1.47058823529412,1665
2012-08-01,51,1.38095238095238,1266
2012-09-01,32,1.32142857142857,948
2012-10-01,15,1.66666666666667,160
2012-11-01,23,1.28571428571429,120
2012-12-01,15,1.25,165
2013-01-01,131,1.35714285714286,10561
2013-02-01,24,1.16666666666667,124
2013-03-01,20,1.25,220
2013-04-01,23,1.25,193
2013-05-01,28,1.41666666666667,372
2013-06-01,33,1.5,12141
2013-07-01,23,1.41666666666667,890
2013-08-01,45,1.6,1305
2013-09-01,32,1.7,633
2013-10-01,24,1.625,229
2013-11-01,21,1.5,2327
2013-12-01,27,1.375,206
2014-01-01,115,1.5,3742
2014-02-01,19,1.2,209
2014-03-01,15,1.6,108
2014-04-01,23,1.64285714285714,716
2014-05-01,25,1.57142857142857,190
2014-06-01,33,1.5,582
2014-07-01,26,1.45833333333333,420
2014-08-01,36,1.38461538461538,889
2014-09-01,29,1.35714285714286,1200
2014-10-01,28,1.17857142857143,315
2014-11-01,22,1.4375,179
2014-12-01,19,1.35714285714286,273
2015-01-01,124,1.625,4266
2015-02-01,23,1.3125,86
2015-03-01,32,1.40909090909091,501
2015-04-01,23,1.5,184
2015-05-01,25,1.45454545454545,352
2015-06-01,38,1.38461538461538,645
2015-07-01,43,1.46428571428571,1418
2015-08-01,30,1.21428571428571,231
2015-09-01,25,1.33333333333333,171
2015-10-01,34,1.5,687
2015-11-01,21,1.3,678
2015-12-01,17,1.66666666666667,367
2016-01-01,121,1.22727272727273,4539
2016-02-01,15,1.33333333333333,92
2016-03-01,23,1.44444444444444,396
2016-04-01,39,1.38461538461538,509
2016-05-01,28,1.5,528
2016-06-01,44,1.5,1075
2016-07-01,38,1.28571428571429,1574
2016-08-01,26,1.5,792
2016-09-01,25,1.31818181818182,385
2016-10-01,25,1.33333333333333,1104
2016-11-01,30,1.1875,4095
2016-12-01,23,1.36363636363636,275
2017-01-01,110,1.16666666666667,3500
2017-02-01,17,1.38888888888889,372
2017-03-01,18,1.125,239
2017-04-01,23,1.54545454545455,465
2017-05-01,32,1.3,409
2017-06-01,40,1.16666666666667,879
2017-07-01,27,1.4375,323
2017-08-01,41,1.41176470588235,2104
2017-09-01,25,1.5,264
2017-10-01,17,1.33333333333333,192
2017-11-01,32,1.26666666666667,278
2017-12-01,14,1.33333333333333,200
2018-01-01,117,1.36363636363636,3026
2018-02-01,26,1.23076923076923,71
2018-03-01,38,1.26470588235294,161
2018-04-01,29,1.34615384615385,208
2018-05-01,41,1.33333333333333,607
2018-06-01,34,1.26666666666667,495
2018-07-01,40,1.44444444444444,575
2018-08-01,27,1.54166666666667,1022
2018-09-01,23,1.375,1201
2018-10-01,48,1.3125,239
2018-11-01,17,1.21428571428571,100
2018-12-01,12,1.5,515
2019-01-01,132,1.375,5328
2019-02-01,23,1.42857142857143,1164
2019-03-01,33,1.25,694
2019-04-01,22,1.33333333333333,257
2019-05-01,31,1.375,186
2019-06-01,53,1.3125,633
2019-07-01,26,1.45,2341
2019-08-01,40,1.22727272727273,384
2019-09-01,28,1.5,235
2019-10-01,58,1.38095238095238,542
2019-11-01,34,1.4,208
2019-12-01,44,1.47619047619048,349
2020-01-01,146,1.38461538461538,6676
2020-02-01,39,1.5,191
2020-03-01,42,1.38888888888889,415
2020-04-01,46,1.3125,591
2020-05-01,39,1.5,425
2020-06-01,61,1.40625,3230
2020-07-01,35,1.5,439
2020-08-01,34,1.6,1002
2020-09-01,27,1.41666666666667,12214
2020-10-01,27,1.58333333333333,385
2020-11-01,40,1.47222222222222,201
2020-12-01,30,1.33333333333333,101
2021-01-01,161,1.38461538461538,4562
2021-02-01,40,1.36111111111111,162
2021-03-01,29,1.54545454545455,47
2021-04-01,41,1.40909090909091,220
2021-05-01,45,1.4,285
2021-06-01,32,1.38888888888889,1875
2021-07-01,62,1.58823529411765,1385
2021-08-01,36,1.45833333333333,482
